date,kaf,
3/31/68,316.676371,
4/30/68,202.800919,
5/31/68,804.304626,
6/30/68,1002.883057,
7/31/68,1314.589966,
8/31/68,910.000305,
9/30/68,377.357452,
10/31/68,543.490967,
11/30/68,321.636796,
12/31/68,246.594072,
1/31/69,318.694244,
2/28/69,204.612228,
3/31/69,122.214005,
4/30/69,71.255259,
5/31/69,230.893694,
6/30/69,122.159042,
7/31/69,731.473154,
8/31/69,810.250977,
9/30/69,1328.205078,
10/31/69,220.624146,
11/30/69,317.340165,
12/31/69,297.5416503,
1/31/70,278.604095,
2/28/70,102.258636,
3/31/70,165.0474138,
4/30/70,171.203677,
5/31/70,622.170959,
6/30/70,941.979065,
7/31/70,1385.064209,
8/31/70,869.915894,
9/30/70,1411.109497,
10/31/70,302.268951,
11/30/70,2.602528,
12/31/70,318.744036,
1/31/71,342.35071,
2/28/71,357.468431,
3/31/71,452.363108,
4/30/71,332.002502,
5/31/71,1530.328613,
6/30/71,986.709595,
7/31/71,1197.654541,
8/31/71,907.950012,
9/30/71,1393.187378,
10/31/71,206.500336,
11/30/71,144.274155,
12/31/71,395.020416,
1/31/72,392.312458,
2/29/72,378.385179,
3/31/72,561.815134,
4/30/72,823.599548,
5/31/72,949.882996,
6/30/72,1101.140991,
7/31/72,1260.351929,
8/31/72,885.035583,
9/30/72,298.086884,
10/31/72,550.27771,
11/30/72,341.984818,
12/31/72,345.477495,
1/31/73,272.192294,
2/28/73,134.828035,
3/31/73,403.622629,
4/30/73,408.732269,
5/31/73,1012.100403,
6/30/73,1175.444336,
7/31/73,1234.353271,
8/31/73,869.947144,
9/30/73,971.811218,
10/31/73,310.001312,
11/30/73,320.420975,
12/31/73,272.927643,
1/31/74,165.004089,
2/28/74,177.685492,
3/31/74,175.1715189,
4/30/74,313.1031791,
5/31/74,430.708496,
6/30/74,1017.222229,
7/31/74,1094.439575,
8/31/74,829.87738,
9/30/74,1432.936646,
10/31/74,260.000488,
11/30/74,61.669343,
12/31/74,502.212542,
1/31/75,751.192629,
2/28/75,301.085314,
3/31/75,187.506866,
4/30/75,291.242502,
5/31/75,451.101685,
6/30/75,1105.428589,
7/31/75,1075.786865,
8/31/75,826.097961,
9/30/75,1324.465942,
10/31/75,126.514549,
11/30/75,102.679505,
12/31/75,400.390367,
1/31/76,495.037783,
2/29/76,575.674822,
3/31/76,311.116312,
4/30/76,83.822556,
5/31/76,328.812561,
6/30/76,402.896484,
7/31/76,932.157349,
8/31/76,624.074402,
9/30/76,153.870453,
10/31/76,132.596863,
11/30/76,0,
12/31/76,19.433189,19.433189
1/31/77,417.453646,
2/28/77,78.648767,
3/31/77,0,
4/30/77,403.101542,403.101542
5/31/77,586.068359,
6/30/77,891.276733,
7/31/77,1019.573914,
8/31/77,892.349976,
9/30/77,291.187469,
10/31/77,630.107483,
11/30/77,206.640594,
12/31/77,325.875857,
1/31/78,275.983615,
2/28/78,55.482225,
3/31/78,100.512003,
4/30/78,127.63932,
5/31/78,88.939903,
6/30/78,73.234016,
7/31/78,1033.963623,
8/31/78,824.880432,
9/30/78,739.116455,
10/31/78,238.738327,
11/30/78,415.890214,
12/31/78,255.465624,
1/31/79,235.850375,
2/28/79,68.9284437,
3/31/79,139.9719039,
4/30/79,261.313608,
5/31/79,293.663361,
6/30/79,1133.106201,
7/31/79,1099.210815,
8/31/79,905.62146,
9/30/79,256.456635,
10/31/79,442.695953,
11/30/79,304.222886,
12/31/79,350.77829,
1/31/80,272.304108,
2/29/80,175.258636,
3/31/80,131.871994,
4/30/80,258.6873951,
5/31/80,381.735049,
6/30/80,552.225725,
7/31/80,806.193979,
8/31/80,802.542542,
9/30/80,183.203506,
10/31/80,210.627777,
11/30/80,447.176255,
12/31/80,370.947405,
1/31/81,1099.49457,
2/28/81,362.242357,
3/31/81,299.376719,
4/30/81,682.284058,
5/31/81,753.633118,
6/30/81,1076.050903,
7/31/81,1033.505005,
8/31/81,932.987793,
9/30/81,555.657104,
10/31/81,549.14801,
11/30/81,342.888169,
12/31/81,352.551788,
1/31/82,247.390396,
2/28/82,236.957672,
3/31/82,273.166992,
4/30/82,552.124084,
5/31/82,272.978241,
6/30/82,116.225195,
7/31/82,806.565735,
8/31/82,742.483835,
9/30/82,1048.477051,
10/31/82,51.756664,
11/30/82,59.865311,
12/31/82,232.6698,
1/31/83,239.804092,
2/28/83,284.657501,
3/31/83,548.65686,
4/30/83,275.680969,
5/31/83,482.815582,
6/30/83,280.030365,
7/31/83,95.087786,
8/31/83,62.073382,
9/30/83,0,
10/31/83,22.49239,22.49239
11/30/83,315.207977,
12/31/83,433.93634,
1/31/84,155.027893,
2/29/84,48.288348,
3/31/84,180.218624,
4/30/84,294.937319,
5/31/84,819.01123,
6/30/84,1034.185181,
7/31/84,1317.678223,
8/31/84,851.01123,
9/30/84,1288.576538,
10/31/84,142.304947,
11/30/84,335.3457804,
12/31/84,367.564958,
1/31/85,374.347903,
2/28/85,340.463823,
3/31/85,407.830759,
4/30/85,543.00946,
5/31/85,868.485352,
6/30/85,1056.697754,
7/31/85,1014.740601,
8/31/85,896.54425,
9/30/85,246.650574,
10/31/85,260.303925,
11/30/85,335.004136,
12/31/85,518.319414,
1/31/86,556.625979,
2/28/86,489.256622,
3/31/86,360.940186,
4/30/86,80.69957,
5/31/86,128.208315,
6/30/86,563.333994,
7/31/86,1110.260986,
8/31/86,818.84375,
9/30/86,1031.188599,
10/31/86,137.581955,
11/30/86,84.473801,
12/31/86,257.915652,
1/31/87,501.783938,
2/28/87,305.184923,
3/31/87,521.079294,
4/30/87,423.362885,
5/31/87,506.547546,
6/30/87,671.877258,
7/31/87,1011.422729,
8/31/87,890.149963,
9/30/87,224.053436,
10/31/87,246.611343,
11/30/87,149.942185,
12/31/87,546.393145,
1/31/88,572.296023,
2/29/88,292.538408,
3/31/88,0,
4/30/88,4.966579,4.966579
5/31/88,61.420471,
6/30/88,1070.00293,
7/31/88,1009.722595,
8/31/88,872.877563,
9/30/88,269.32666,
10/31/88,339.849121,
11/30/88,287.786759,
12/31/88,362.018419,
1/31/89,762.531741,
2/28/89,509.243059,
3/31/89,554.716013,
4/30/89,480.968933,
5/31/89,693.997192,
6/30/89,600.051575,
7/31/89,1106.270264,
8/31/89,951.696289,
9/30/89,195.805023,
10/31/89,284.169891,
11/30/89,382.126145,
12/31/89,268.977007,
1/31/90,935.286074,
2/28/90,179.084017,
3/31/90,578.410227,
4/30/90,123.298744,
5/31/90,10.193267,
6/30/90,485.443573,
7/31/90,1003.423767,
8/31/90,783.114685,
9/30/90,158.675598,
10/31/90,225.170029,
11/30/90,180.266632,
12/31/90,0,
1/31/91,292.275884,292.275884
2/28/91,433.357378,
3/31/91,525.568735,
4/30/91,203.071304,
5/31/91,167.062363,
6/30/91,843.993774,
7/31/91,1002.028381,
8/31/91,880.228882,
9/30/91,260.664948,
10/31/91,511.893036,
11/30/91,213.558914,
12/31/91,123.220324,
1/31/92,528.508425,
2/29/92,484.710344,
3/31/92,549.848398,
4/30/92,262.860596,
5/31/92,921.613586,
6/30/92,1164.978149,
7/31/92,1017.522644,
8/31/92,914.605469,
9/30/92,305.213654,
10/31/92,540.889648,
11/30/92,194.6605541,
12/31/92,418.511461,
1/31/93,234.129427,
2/28/93,285.769762,
3/31/93,471.97175,
4/30/93,558.241089,
5/31/93,1581.593872,
6/30/93,1294.404907,
7/31/93,1036.812012,
8/31/93,859.036926,
9/30/93,913.201355,
10/31/93,231.184128,
11/30/93,521.746155,
12/31/93,194.699557,
1/31/94,629.93738,
2/28/94,498.309709,
3/31/94,432.106119,
4/30/94,71.95475,
5/31/94,714.029785,
6/30/94,955.988525,
7/31/94,1043.44751,
8/31/94,1076.094849,
9/30/94,285.910797,
10/31/94,376.375,
11/30/94,263.846909,
12/31/94,408.31308,
1/31/95,272.826141,
2/28/95,44.272223,
3/31/95,372.671021,
4/30/95,157.046906,
5/31/95,363.493134,
6/30/95,223.546,
7/31/95,150.11026,
8/31/95,760.299561,
9/30/95,977.271057,
10/31/95,261.020782,
11/30/95,227.894425,
12/31/95,322.776934,
1/31/96,290.501254,
2/29/96,128.05765,
3/31/96,157.428192,
4/30/96,291.366617,
5/31/96,346.175537,
6/30/96,510.080505,
7/31/96,1166.230469,
8/31/96,879.691345,
9/30/96,1602.728882,
10/31/96,307.621582,
11/30/96,236.818131,
12/31/96,202.667833,
1/31/97,621.558411,
2/28/97,162.166,
3/31/97,0,
4/30/97,272.69242,272.69242
5/31/97,565.288208,
6/30/97,860.352173,
7/31/97,1393.807861,
8/31/97,871.799988,
9/30/97,1332.54895,
10/31/97,230.471481,
11/30/97,152.371384,
12/31/97,343.432803,
1/31/98,208.611849,
2/28/98,296.514618,
3/31/98,122.410977,
4/30/98,139.817856,
5/31/98,111.551743,
6/30/98,287.561737,
7/31/98,102.738197,
8/31/98,317.392426,
9/30/98,815.385254,
10/31/98,200.286194,
11/30/98,227.130173,
12/31/98,303.549333,
1/31/99,238.969088,
2/28/99,307.536316,
3/31/99,300.723785,
4/30/99,255.412533,
5/31/99,430.607727,
6/30/99,977.283997,
7/31/99,1180.090576,
8/31/99,856.236694,
9/30/99,1421.885376,
10/31/99,239.722244,
11/30/99,747.6739645,
12/31/99,331.7930185,
1/31/00,517.703311,
2/29/00,210.873566,
3/31/00,153.518444,
4/30/00,332.29007,
5/31/00,194.180649,
6/30/00,665.729309,
7/31/00,1258.146729,
8/31/00,884.305725,
9/30/00,890.528259,
10/31/00,297.870758,
11/30/00,133.252106,
12/31/00,275.794725,
1/31/01,871.990908,
2/28/01,416.35689,
3/31/01,480.567087,
4/30/01,598.640442,
5/31/01,547.282104,
6/30/01,1112.339233,
7/31/01,1033.878906,
8/31/01,883.544495,
9/30/01,333.780945,
10/31/01,536.405518,
11/30/01,272.344712,
12/31/01,371.287554,
1/31/02,366.780551,
2/28/02,377.750658,
3/31/02,543.149973,
4/30/02,775.860535,
5/31/02,844.750549,
6/30/02,996.273865,
7/31/02,1078.880737,
8/31/02,1009.358398,
9/30/02,251.923218,
10/31/02,563.474915,
11/30/02,346.979325,
12/31/02,261.210771,
1/31/03,497.152407,
2/28/03,477.74489,
3/31/03,541.301707,
4/30/03,1148.860962,
5/31/03,2229.130859,
6/30/03,1016.486084,
7/31/03,1353.0625,
8/31/03,829.318604,
9/30/03,615.207947,
