date,kaf,,kaf
2/28/30,342.0045237,,500.604387
3/31/30,610.1332036,,544.784434
4/30/30,816.2947234,,710.309631
5/31/30,554.6822663,,808.725403
6/30/30,847.813433,,618.472534
7/31/30,614.6179904,,1035.357178
8/31/30,690.911,,759.088928
9/30/30,54.31981025,,110.322701
10/31/30,402.5122488,,374.648926
11/30/30,110.6149005,,120.374772
12/31/30,148.4779215,,-35.33
1/31/31,694.4048,,724.595645
2/28/31,271.7040097,,231.993517
3/31/31,312.4010158,,271.635844
4/30/31,321.06997,,321.071136
5/31/31,148.8363132,,292.171631
6/30/31,344.4355993,,343.259125
7/31/31,446.7081744,,942.05072
8/31/31,573.692202,,720.896973
9/30/31,198.0236684,,20.221731
10/31/31,328.5733018,,366.162872
11/30/31,161.5807036,,172.811402
12/31/31,312.4351285,,492.364946
1/31/32,372.936587,,551.756533
2/29/32,428.5151941,,395.372515
3/31/32,456.5686499,,392.101481
4/30/32,332.3691897,,792.829407
5/31/32,922.59151,,971.973999
6/30/32,1107.995195,,880.000793
7/31/32,346.347925,,858.60199
8/31/32,330.7086274,,866.263733
9/30/32,388.0134086,,172.280441
10/31/32,208.4052942,,455.654877
11/30/32,115.5014799,,0
12/31/32,251.1988597,,182.0129
1/31/33,718.5834196,,682.15314
2/28/33,126.31843,,284.914141
3/31/33,452.2431827,,402.606821
4/30/33,0,,0
5/31/33,495.4332753,,19.944237
6/30/33,989.6066296,,833.246094
7/31/33,364.2090984,,971.982117
8/31/33,570.2671534,,858.12915
9/30/33,409.1945794,,224.086594
10/31/33,237.146725,,267.784729
11/30/33,122.2024799,,0
12/31/33,571.0311285,,467.98
1/31/34,389.106587,,967.231082
2/28/34,482.1865201,,268.087084
3/31/34,110.9596568,,285.71226
4/30/34,202.0620665,,25.31225
5/31/34,465.1791781,,501.245422
6/30/34,842.7346296,,1134.210327
7/31/34,431.7815,,998.703979
8/31/34,568.4877977,,870.586304
9/30/34,264.2281675,,264.247955
10/31/34,490.1827354,,562.174866
11/30/34,226.3990304,,377.282334
12/31/34,158.4075969,,343.73546
1/31/35,527.541217,,356.484225
2/28/35,500.3875237,,364.031755
3/31/35,550.7992036,,510.039438
4/30/35,329.4705,,329.471619
5/31/35,345.5052172,,420.548737
6/30/35,419.9145,,1127.775757
7/31/35,978.354,,1083.4823
8/31/35,445.2635,,895.483826
9/30/35,184.7064023,,393.046631
10/31/35,425.8377162,,243.796234
11/30/35,267.6711781,,233.806534
12/31/35,23.169438,,119.20034
1/31/36,317.776587,,2635.998311
2/29/36,4155.390653,,297.228624
3/31/36,320.6212036,,279.861216
4/30/36,138.3715,,322.891724
5/31/36,331.7425,,144.224564
6/30/36,621.9735,,1008.876282
7/31/36,636.7469904,,1090.014771
8/31/36,401.4465,,851.666321
9/30/36,384.2925711,,176.746704
10/31/36,393.3870419,,191.906479
11/30/36,238.0511379,,204.186982
12/31/36,197.0822937,,289.668779
1/31/37,499.132587,,656.711428
2/28/37,153.8117404,,153.812225
3/31/37,188.4716414,,188.472
4/30/37,104.4392,,194.062469
5/31/37,173.7945,,0
6/30/37,594.4645,,1201.75
7/31/37,441.9675,,1061.572021
8/31/37,853.3660683,,904.566284
9/30/37,336.7638598,,314.070404
10/31/37,545.3913504,,327.553253
11/30/37,474.1709186,,358.605546
12/31/37,52.669438,,166.850418
1/31/38,315.462587,,136.753499
2/28/38,3690.586868,,200.882234
3/31/38,288.1716414,,292.765808
4/30/38,129.1489119,,129.898209
5/31/38,173.3178483,,225.0242
6/30/38,91.5397535,,142.86795
7/31/38,552.0353057,,66.853144
8/31/38,679.6776274,,807.132324
9/30/38,12.72178691,,12.528149
10/31/38,117.4523995,,126.512581
11/30/38,50.44415309,,109.498627
12/31/38,421.3134114,,385.979814
1/31/39,358.7018524,,322.260012
2/28/39,208.3936688,,504.628801
3/31/39,264.3667856,,429.199015
4/30/39,735.3872479,,582.746399
5/31/39,611.08851,,660.28479
6/30/39,685.1635,,926.383789
7/31/39,536.2315,,1078.223022
8/31/39,729.7144317,,951.09436
9/30/39,531.4373288,,323.137451
10/31/39,504.1661266,,317.095306
11/30/39,142.9261379,,0
12/31/39,256.8494114,,202.301574
1/31/40,481.287587,,350.415621
2/29/40,378.9288334,,254.357012
3/31/40,213.46565,,214.477112
4/30/40,102.9635,,274.469953
5/31/40,331.7425,,166.6721095
6/30/40,598.3445,,929.9283666
7/31/40,1269.866,,1321.066406
8/31/40,688.7361274,,893.442871
9/30/40,481.3135183,,956.15509
10/31/40,291.7712825,,266.383118
11/30/40,489.4180509,,128.186616
12/31/40,55.569438,,279.003937
1/31/41,173.193587,,199.961323
2/28/41,108.55815,,108.55822
3/31/41,119.4716414,,119.472
4/30/41,95.8402,,160.032608
5/31/41,1851.795932,,-25.389999
6/30/41,345.8788148,,163.911881
7/31/41,195.4675,,907.299622
8/31/41,405.0685683,,876.235046
9/30/41,235.5486703,,1500.734863
10/31/41,513.8159337,,215.783508
11/30/41,728.7501871,,125.886155
12/31/41,50.469438,,338.91748
1/31/42,165.1952,,165.194931
2/28/42,159.25815,,159.258636
3/31/42,280.8296964,,168.180433
4/30/42,101.2909119,,257.413483
5/31/42,1779.981897,,247.193118
6/30/42,334.8915,,386.091797
7/31/42,812.7405096,,863.940002
8/31/42,816.0730683,,867.272705
9/30/42,311.6768598,,1505.115479
10/31/42,505.6268894,,277.088104
11/30/42,131.6338756,,98.378037
12/31/42,62.869438,,395.561249
1/31/43,202.1037413,,202.104095
2/28/43,2935.36442,,18.512221
3/31/43,352.56565,,352.565521
4/30/43,88.4402,,220.893143
5/31/43,120.7216166,,378.782664
6/30/43,571.5656296,,831.086487
7/31/43,1266.373,,1317.57312
8/31/43,483.9658726,,835.192078
9/30/43,352.380915,,1325.003296
10/31/43,369.02734,,176.714981
11/30/43,10.98157807,,167.742844
12/31/43,273.3939803,,93.975665
1/31/44,775.4661524,,534.476565
2/29/44,263.1535237,,462.869524
3/31/44,555.6710128,,496.19874
4/30/44,210.9352394,,424.369263
5/31/44,209.3495,,550.5896
6/30/44,439.4955,,893.083313
7/31/44,684.7259904,,1017.699402
8/31/44,668.2875,,872.503418
9/30/44,447.7053288,,239.405014
10/31/44,414.8983126,,309.665009
11/30/44,269.6699625,,361.884446
12/31/44,41.369438,,397.048492
1/31/45,549.090587,,335.674458
2/28/45,178.1117404,,178.112228
3/31/45,167.5252036,,93.87211888
4/30/45,270.9706478,,173.5741521
5/31/45,332.0595,,739.12085
6/30/45,602.3635,,1010.827087
7/31/45,1013.633,,1064.833252
8/31/45,381.8505,,885.833984
9/30/45,540.1178598,,342.792053
10/31/45,498.4896837,,498.556671
11/30/45,262.7416267,,437.196763
12/31/45,161.569438,,241.12291
1/31/46,159.1164536,,348.749012
2/28/46,321.4341943,,285.657244
3/31/46,356.9862036,,316.226664
4/30/46,314.8461875,,753.412109
5/31/46,116.8625,,833.831116
6/30/46,868.4847225,,658.410706
7/31/46,1092.019,,1143.219116
8/31/46,438.7065,,888.926819
9/30/46,454.9776,,246.653473
10/31/46,396.8843502,,203.800949
11/30/46,308.370636,,274.503373
12/31/46,609.7444114,,472.073351
1/31/47,386.234587,,338.654086
2/28/47,486.6676218,,481.30269
3/31/47,397.9392036,,547.848887
4/30/47,225.404476,,637.368042
5/31/47,772.0387864,,568.313965
6/30/47,685.3435,,1013.047791
7/31/47,983.164,,1035.48291
8/31/47,728.0564317,,949.466187
9/30/47,280.7326,,326.551788
10/31/47,501.9642177,,300.984985
11/30/47,329.4686699,,295.602585
12/31/47,39.88641137,,223.7894606
1/31/48,582.232587,,758.9217564
2/29/48,432.2173247,,195.574617
3/31/48,718.2360568,,554.233652
4/30/48,298.5915,,1956.484497
5/31/48,336.7284926,,1297.716064
6/30/48,1020.95363,,1072.154907
7/31/48,666.5249428,,1099.87561
8/31/48,707.8055,,906.166016
9/30/48,451.3383288,,243.0383
10/31/48,479.0498697,,459.676147
11/30/48,71.06455987,,37.200287
12/31/48,210.5521285,,484.759539
1/31/49,411.5012025,,521.132815
2/28/49,794.1996602,,345.489061
3/31/49,589.2242036,,523.873972
4/30/49,491.2660994,,421.552673
5/31/49,1168.019786,,1077.58374
6/30/49,987.5896296,,1047.948608
7/31/49,954.452,,1027.472656
8/31/49,882.009,,933.208984
9/30/49,539.5126,,331.188812
10/31/49,440.8028051,,465.367645
11/30/49,241.5880984,,207.72432
12/31/49,212.8694097,,247.451097
1/31/50,327.343587,,998.132876
2/28/50,478.2465237,,417.335436
3/31/50,580.6672036,,539.906931
4/30/50,483.1115,,1159.653931
5/31/50,286.0322172,,1228.473999
6/30/50,428.7515,,1064.241455
7/31/50,710.8185,,1115.159546
8/31/50,915.827,,963.244324
9/30/50,267.4177458,,238.188126
10/31/50,333.5331576,,501.942719
11/30/50,355.2821393,,231.86821
12/31/50,281.7174603,,281.724426
1/31/51,256.325746,,256.335693
2/28/51,178.3302474,,178.336578
3/31/51,171.8510828,,352.993142
4/30/51,355.1765,,252.121664
5/31/51,403.3515,,874.76613
6/30/51,453.2945,,965.314514
7/31/51,740.9145,,1354.134277
8/31/51,673.7165,,908.67688
9/30/51,587.1268598,,1009.587402
10/31/51,688.1107979,,688.276123
11/30/51,521.6996796,,488.557542
12/31/51,2541.517507,,317.528612
1/31/52,4193.043052,,185.664095
2/29/52,359.6006306,,223.242968
3/31/52,204.1716414,,208.767014
4/30/52,3419.099323,,91.738108
5/31/52,226.797,,278.510315
6/30/52,2012.373058,,133.877014
7/31/52,340.8300796,,837.289185
8/31/52,389.5275683,,860.694092
9/30/52,1526.331128,,1540.598633
10/31/52,791.5565296,,299.497803
11/30/52,174.5575736,,141.413071
12/31/52,74.34375544,,354.0094766
1/31/53,3449.504138,,307.231022
2/28/53,409.5234993,,326.30855
3/31/53,553.1101207,,489.864695
4/30/53,346.5225,,983.456482
5/31/53,403.2145,,1349.100952
6/30/53,1076.115784,,1127.491089
7/31/53,1132.05451,,1183.253784
8/31/53,851.5366274,,902.73584
9/30/53,1560.82179,,1535.734131
10/31/53,316.0920217,,319.989624
11/30/53,173.69777,,140.559891
12/31/53,67.34714733,,372.869677
1/31/54,576.670587,,512.476748
2/28/54,506.6448334,,499.301653
3/31/54,2910.580508,,537.13917
4/30/54,506.9115,,483.112
5/31/54,989.0647864,,365.951782
6/30/54,634.5065,,1058.867065
7/31/54,1324.865,,1376.064941
8/31/54,418.4620213,,910.134094
9/30/54,407.5861499,,914.750244
10/31/54,443.483518,,251.159042
11/30/54,214.3861012,,523.169358
12/31/54,192.684851,,465.769457
1/31/55,1082.835152,,426.9912742
2/28/55,64.97229906,,162.7882964
3/31/55,469.2475,,391.4427936
4/30/55,582.2930386,,697.424866
5/31/55,849.0617864,,900.265137
6/30/55,1021.01863,,1072.21936
7/31/55,734.0119904,,1046.121704
8/31/55,532.5865683,,977.326416
9/30/55,498.4308598,,509.424255
10/31/55,534.9022506,,550.087402
11/30/55,438.0750866,,393.162064
12/31/55,4417.536376,,264.492998
1/31/56,301.3037413,,301.495544
2/29/56,105.35815,,105.358643
3/31/56,271.8466964,,193.917004
4/30/56,356.5517881,,296.921801
5/31/56,182.2794398,,430.336334
6/30/56,1046.583558,,382.920959
7/31/56,202.4745,,914.996094
8/31/56,817.1186274,,817.118713
9/30/56,1472.176501,,1455.960449
10/31/56,726.3916839,,270.612488
11/30/56,8.459578066,,710.353516
12/31/56,308.9941973,,246.069125
1/31/57,557.4402624,,417.272799
2/28/57,503.4460611,,399.563005
3/31/57,2321.413931,,538.542124
4/30/57,346.5225,,322.722504
5/31/57,164.1112172,,832.743042
6/30/57,454.7715,,956.377991
7/31/57,527.1815,,1341.547241
8/31/57,705.2805,,903.640198
9/30/57,579.2478598,,1096.278931
10/31/57,529.9520845,,314.805023
11/30/57,496.8064224,,164.662583
12/31/57,1611.368711,,377.720385
1/31/58,533.5284978,,361.433779
2/28/58,358.3756306,,222.017412
3/31/58,228.3716414,,232.96611
4/30/58,319.1392,,319.138611
5/31/58,26.28483889,,78.005478
6/30/58,102.5225,,153.723328
7/31/58,431.7215,,887.553538
8/31/58,612.8105,,811.176392
9/30/58,304.2308039,,1362.019897
10/31/58,803.9329295,,293.21582
11/30/58,41.36649522,,0
12/31/58,334.2247809,,59.005236
1/31/59,547.197587,,542.711978
2/28/59,456.2755237,,463.752001
3/31/59,528.2463252,,492.575144
4/30/59,612.1870094,,519.04071
5/31/59,320.6005,,572.930786
6/30/59,924.4976296,,795.07196
7/31/59,756.6055,,1313.890747
8/31/59,680.4395,,915.39917
9/30/59,444.3483288,,308.611664
10/31/59,500.4248666,,507.866882
11/30/59,67.5476,,33.683259
12/31/59,47.0156,,11.681597
1/31/60,517.1769086,,698.22626
2/29/60,528.4695237,,492.639666
3/31/60,406.3082036,,556.217905
4/30/60,826.9322479,,690.402161
5/31/60,776.7931449,,775.485535
6/30/60,461.2145,,1011.621765
7/31/60,770.3475,,1135.005859
8/31/60,922.217,,973.416504
9/30/60,560.1166,,351.79248
10/31/60,263.964642,,315.970612
11/30/60,411.4036467,,169.217866
12/31/60,344.2847327,,545.061968
1/31/61,486.4505952,,488.6001
2/28/61,323.2275237,,508.11043
3/31/61,627.2842036,,561.934336
4/30/61,175.3213379,,619.601746
5/31/61,582.8775,,623.803101
6/30/61,709.5875,,1018.702026
7/31/61,1064.185,,1115.385498
8/31/61,761.4885,,1033.94751
9/30/61,477.6633288,,269.363281
10/31/61,340.7673769,,563.501343
11/30/61,107.6991781,,282.154191
12/31/61,237.3010778,,402.187334
1/31/62,201.838587,,312.107546
2/28/62,2685.557365,,169.195558
3/31/62,1532.67405,,469.16041
4/30/62,399.4515,,395.699585
