date,
7/31/60,359.985046
8/31/60,215.205399
9/30/60,189.714462
10/31/60,251.436783
11/30/60,278.094543
12/31/60,380.763794
1/31/61,276.692657
2/28/61,1037.435181
3/31/61,673.674438
4/30/61,527.203674
5/31/61,357.320312
6/30/61,422.47699
7/31/61,151.690996
8/31/61,266.278534
9/30/61,189.714462
10/31/61,251.436783
11/30/61,274.094543
12/31/61,530.832275
1/31/62,276.692657
2/28/62,3189.670898
3/31/62,1233.565063
4/30/62,471.443634
5/31/62,557.228271
6/30/62,326.080841
7/31/62,507.884094
8/31/62,245.949036
9/30/62,189.714462
10/31/62,1118.255737
11/30/62,377.243256
12/31/62,1339.767212
1/31/63,1182.619629
2/28/63,3883.930908
3/31/63,1840.291016
4/30/63,3869.449297
5/31/63,1236.14563
6/30/63,504.542664
7/31/63,435.85103
8/31/63,245.949036
9/30/63,1194.724731
10/31/63,480.369202
11/30/63,929.746887
12/31/63,277.711914
1/31/64,657.932312
2/29/64,376.310272
3/31/64,472.460175
4/30/64,420.815857
5/31/64,440.997498
6/30/64,431.00589
7/31/64,154.491463
8/31/64,215.205399
9/30/64,189.714462
10/31/64,249.436783
11/30/64,453.066498
12/31/64,4492.680664
1/31/65,6207.490586
2/28/65,1807.913574
3/31/65,737.372253
4/30/65,2551.899902
5/31/65,709.992981
6/30/65,305.651184
7/31/65,498.611176
8/31/65,245.949036
9/30/65,1190.07605
10/31/65,480.369202
11/30/65,920.449402
12/31/65,433.760498
1/31/66,1294.601074
2/28/66,950.21051
3/31/66,674.066406
4/30/66,296.434443
5/31/66,573.095947
6/30/66,382.113556
7/31/66,499.939545
8/31/66,245.949036
9/30/66,189.714462
10/31/66,251.436783
11/30/66,476.254181
12/31/66,1507.978867
1/31/67,3126.458984
2/28/67,2897.111328
3/31/67,3179.861816
4/30/67,2888.308066
5/31/67,2540.182373
6/30/67,1950.598389
7/31/67,807.587341
8/31/67,245.949036
9/30/67,1152.886108
10/31/67,509.191345
11/30/67,814.983154
12/31/67,297.327271
1/31/68,1465.931885
2/29/68,2614.562012
3/31/68,1787.012451
4/30/68,409.832428
5/31/68,330.432007
6/30/68,316.113953
7/31/68,340.688442
8/31/68,245.949036
9/30/68,189.714462
10/31/68,251.436783
11/30/68,340.915802
12/31/68,1914.501343
1/31/69,6473.335879
2/28/69,7098.701172
3/31/69,4257.50293
4/30/69,3222.814639
5/31/69,3411.852861
6/30/69,1815.735107
7/31/69,491.898071
8/31/69,245.949036
9/30/69,1310.943115
10/31/69,441.939667
11/30/69,1791.97998
12/31/69,3543.344238
1/31/70,10604.11861
2/28/70,4136.742676
3/31/70,2229.529541
4/30/70,453.716492
5/31/70,245.949036
6/30/70,293.552094
7/31/70,658.375183
8/31/70,245.949036
9/30/70,976.438804
10/31/70,518.798706
11/30/70,911.151978
12/31/70,2500.817383
1/31/71,2512.345703
2/28/71,1179.771484
3/31/71,2488.119873
4/30/71,1419.538208
5/31/71,933.494341
6/30/71,313.399078
7/31/71,491.898071
8/31/71,245.949036
9/30/71,1134.29126
10/31/71,518.798706
11/30/71,855.777771
12/31/71,500.755829
1/31/72,418.254761
2/29/72,809.297607
3/31/72,1109.875732
4/30/72,621.070923
5/31/72,238.934191
6/30/72,409.683685
7/31/72,505.344513
8/31/72,245.949036
9/30/72,188.714462
10/31/72,254.436783
11/30/72,645.934937
12/31/72,1324.440063
1/31/73,4559.555176
2/28/73,4091.933594
3/31/73,3276.315918
4/30/73,383.074341
5/31/73,395.10689
6/30/73,571.236511
7/31/73,513.301941
8/31/73,245.949036
9/30/73,697.310181
10/31/73,428.424805
11/30/73,3412.780762
12/31/73,3981.910645
1/31/74,7186.561523
2/28/74,3484.201416
3/31/74,4917.147461
4/30/74,4117.178223
5/31/74,957.249695
6/30/74,398.933306
7/31/74,491.898071
8/31/74,245.949036
9/30/74,1115.696289
10/31/74,518.798706
11/30/74,858.413879
12/31/74,334.895996
1/31/75,309.639984
2/28/75,3209.793457
3/31/75,4127.717285
4/30/75,1313.478027
5/31/75,1501.657715
6/30/75,716.722778
7/31/75,491.898071
8/31/75,67.869036
9/30/75,1134.29126
10/31/75,518.798706
11/30/75,929.746887
12/31/75,276.711914
1/31/76,276.692657
2/29/76,443.72052
3/31/76,309.652819
4/30/76,463.832123
5/31/76,245.949036
6/30/76,238.015198
7/31/76,245.949036
8/31/76,184.461777
9/30/76,188.714462
10/31/76,188.949524
11/30/76,208.590729
12/31/76,217.224655
1/31/77,276.692657
2/28/77,291.271118
3/31/77,445.088379
4/30/77,422.47699
5/31/77,245.949036
6/30/77,238.015198
7/31/77,67.869036
8/31/77,184.461777
9/30/77,189.714462
10/31/77,184.461777
11/30/77,211.590729
12/31/77,518.364868
1/31/78,4150.062012
2/28/78,3210.759033
3/31/78,4800.135254
4/30/78,2416.04127
5/31/78,929.033875
6/30/78,489.27771
7/31/78,491.898071
8/31/78,245.949036
9/30/78,688.012695
10/31/78,365.080597
11/30/78,598.367905
12/31/78,276.711914
1/31/79,1146.972656
2/28/79,2275.946533
3/31/79,1730.74292
4/30/79,518.178894
5/31/79,431.997589
6/30/79,474.418823
7/31/79,399.667175
8/31/79,245.949036
9/30/79,189.714462
10/31/79,249.436783
11/30/79,536.850586
12/31/79,1747.255127
1/31/80,5951.871582
2/29/80,6646.602539
3/31/80,3905.767822
4/30/80,513.151123
5/31/80,416.911499
6/30/80,225.084442
7/31/80,491.898071
8/31/80,245.949036
9/30/80,688.012695
10/31/80,384.295349
11/30/80,613.632935
12/31/80,393.780426
1/31/81,795.137329
2/28/81,1120.222656
3/31/81,1109.047241
4/30/81,506.89801
5/31/81,297.518982
6/30/81,316.493683
7/31/81,307.436279
8/31/81,215.205399
9/30/81,189.714462
10/31/81,249.436783
11/30/81,2158.642578
12/31/81,4595.32959
1/31/82,4375.012695
2/28/82,5350.696641
3/31/82,5033.768066
4/30/82,7486.606934
5/31/82,2762.247803
6/30/82,1032.390137
7/31/82,491.898071
8/31/82,245.949036
9/30/82,1004.526108
10/31/82,1316.041504
11/30/82,2703.125107
12/31/82,5380.804199
1/31/83,6588.019531
2/28/83,8976.131836
3/31/83,15235.28711
4/30/83,4909.887695
5/31/83,4717.894531
6/30/83,4021.700928
7/31/83,2021.795977
8/31/83,718.103455
9/30/83,1291.633273
10/31/83,1816.199097
11/30/83,5069.99371
12/31/83,8502.390625
1/31/84,3899.946289
2/29/84,2329.471865
3/31/84,1873.824951
4/30/84,473.303131
5/31/84,431.809723
6/30/84,345.64926
7/31/84,611.276306
8/31/84,245.949036
9/30/84,1134.29126
10/31/84,509.191345
11/30/84,901.854492
12/31/84,762.967834
1/31/85,381.80191
2/28/85,622.997131
3/31/85,656.921936
4/30/85,472.856873
5/31/85,554.178711
6/30/85,371.898743
7/31/85,307.436279
8/31/85,215.205399
9/30/85,189.714462
10/31/85,250.436783
11/30/85,274.094543
12/31/85,976.117371
1/31/86,2211.70459
2/28/86,9818.057617
3/31/86,7872.741699
4/30/86,810.268433
5/31/86,490.307098
6/30/86,336.394836
7/31/86,491.898071
8/31/86,245.949036
9/30/86,1106.398804
10/31/86,499.583954
11/30/86,748.393372
12/31/86,278.711914
1/31/87,276.692657
2/28/87,503.74585
3/31/87,967.409973
4/30/87,539.749023
5/31/87,403.510132
6/30/87,144.081168
7/31/87,307.436279
8/31/87,215.205399
9/30/87,189.714462
10/31/87,249.436783
11/30/87,270.094543
12/31/87,482.269501
1/31/88,1127.795776
2/29/88,267.39093
3/31/88,544.980408
4/30/88,410.873749
5/31/88,422.724884
6/30/88,422.47699
7/31/88,245.949036
8/31/88,63.084777
9/30/88,189.714462
10/31/88,189.949524
11/30/88,211.590729
12/31/88,220.224655
1/31/89,171.062657
2/28/89,479.600616
3/31/89,3176.505859
4/30/89,827.102844
5/31/89,610.050305
6/30/89,344.006348
7/31/89,318.87085
8/31/89,215.205399
9/30/89,190.714462
10/31/89,249.436783
11/30/89,270.094543
12/31/89,277.711914
1/31/90,453.658295
2/28/90,633.120422
3/31/90,381.419342
4/30/90,560.922546
5/31/90,245.949036
6/30/90,58.985198
7/31/90,245.949036
8/31/90,184.461777
9/30/90,189.714462
10/31/90,189.949524
11/30/90,208.590729
12/31/90,218.224655
1/31/91,171.062657
2/28/91,411.369629
3/31/91,1364.733643
4/30/91,315.370148
5/31/91,245.949036
6/30/91,238.015198
7/31/91,172.499036
8/31/91,184.461777
9/30/91,189.714462
10/31/91,188.949524
11/30/91,208.590729
12/31/91,218.224655
1/31/92,276.692657
2/29/92,1240.198486
3/31/92,892.664368
4/30/92,568.385254
5/31/92,199.682329
6/30/92,422.47699
7/31/92,245.949036
8/31/92,184.461777
9/30/92,189.714462
10/31/92,188.949524
11/30/92,208.590729
12/31/92,389.174042
1/31/93,3490.492188
2/28/93,3501.703369
3/31/93,3072.494629
4/30/93,2092.726807
5/31/93,966.006226
6/30/93,889.028931
7/31/93,313.818071
8/31/93,245.949036
9/30/93,725.202576
10/31/93,403.510132
11/30/93,613.632935
12/31/93,280.711914
1/31/94,276.692657
2/28/94,591.141052
3/31/94,447.270203
4/30/94,452.005737
5/31/94,245.949036
6/30/94,238.015198
7/31/94,253.005875
8/31/94,#VALUE!
9/30/94,189.714462
10/31/94,188.949524
11/30/94,214.590729
12/31/94,590.209229
1/31/95,7351.999375
2/28/95,4793.44873
3/31/95,10487.41656
4/30/95,4120.721191
5/31/95,4921.908691
6/30/95,2160.619639
7/31/95,1302.20459
8/31/95,245.949036
9/30/95,818.177246
10/31/95,730.161194
11/30/95,902.352478
12/31/95,1574.649658
1/31/96,2480.326416
2/29/96,5450.835938
3/31/96,4395.966309
4/30/96,2178.194336
5/31/96,1979.319336
6/30/96,367.435974
7/31/96,491.898071
8/31/96,205.189036
9/30/96,1264.455811
10/31/96,480.369202
11/30/96,2480.175049
12/31/96,4624.491152
1/31/97,15459.00195
2/28/97,4651.328125
3/31/97,988.767883
4/30/97,364.7341
5/31/97,245.949036
6/30/97,238.015198
7/31/97,551.46939
8/31/97,245.949036
9/30/97,1115.696289
10/31/97,480.369202
11/30/97,911.151978
12/31/97,1007.562622
1/31/98,5096.041016
2/28/98,12337.21277
3/31/98,5158.469082
4/30/98,3933.74585
5/31/98,2720.575684
6/30/98,4292.643066
7/31/98,1453.708984
8/31/98,245.949036
9/30/98,762.392456
10/31/98,499.913605
11/30/98,1671.485229
12/31/98,2216.401367
1/31/99,2115.809082
2/28/99,5017.586699
3/31/99,3536.34668
4/30/99,1333.652588
5/31/99,951.376343
6/30/99,288.763333
7/31/99,491.898071
8/31/99,245.949036
9/30/99,1194.724731
10/31/99,461.154419
11/30/99,904.060181
12/31/99,286.711914
1/31/00,1250.983887
2/29/00,5262.41834
3/31/00,4633.32373
4/30/00,783.511353
5/31/00,547.13739
6/30/00,342.146851
7/31/00,522.50238
8/31/00,245.949036
9/30/00,697.310181
10/31/00,355.473206
11/30/00,622.93042
12/31/00,281.711914
1/31/01,435.786133
2/28/01,752.992993
3/31/01,1012.957275
4/30/01,510.493042
5/31/01,245.949036
6/30/01,422.47699
7/31/01,307.436279
8/31/01,215.205399
9/30/01,190.714462
10/31/01,251.436783
11/30/01,271.094543
12/31/01,1292.194458
1/31/02,2145.216064
2/28/02,1190.77063
3/31/02,892.493774
4/30/02,379.246641
5/31/02,447.195831
6/30/02,293.490082
7/31/02,312.805725
8/31/02,258.190277
9/30/02,190.714462
10/31/02,250.436783
11/30/02,268.094543
12/31/02,1518.087646
1/31/03,3014.915039
2/28/03,1112.597046
3/31/03,1523.25061
4/30/03,561.830645
5/31/03,1724.875488
6/30/03,334.08905
7/31/03,594.579651
8/31/03,245.949036
9/30/03,688.012695
