date,kaf,kaf,kaf
10/31/55,534.9022506,534.9022506,0
11/30/55,392.0335086,425.8935086,-33.86
12/31/55,4082.383726,4117.713726,-35.33
1/31/56,0,0,0
2/29/56,0,0,0
3/31/56,128.516055,205.716055,-77.2
4/30/56,273.7705881,309.6005881,-35.83
5/31/56,215.26,215.26,0
6/30/56,1000.104804,1000.104804,0
7/31/56,298.2309904,298.2309904,0
8/31/56,665.2975732,665.2975732,0
9/30/56,1393.229246,1393.229246,0
10/31/56,726.3916839,726.3916839,0
11/30/56,174.46,208.32,-33.86
12/31/56,265.1167593,300.4467593,-35.33
1/31/57,496.0075211,532.4475211,-36.44
2/28/57,412.0693207,447.8993207,-35.83
3/31/57,2167.89329,2208.65329,-40.76
4/30/57,318.8453,318.8453,0
5/31/57,389.4019172,389.4019172,0
6/30/57,605.7581069,605.7581069,0
7/31/57,793.6415,793.6415,0
8/31/57,721.50214,721.50214,0
9/30/57,579.2478598,579.2478598,0
10/31/57,529.9520845,529.9520845,0
11/30/57,451.1838443,485.0438443,-33.86
12/31/57,1762.229273,1797.559273,-35.33
1/31/58,441.3847564,477.8247564,-36.44
2/28/58,154.9884806,190.8184806,-35.83
3/31/58,0,0,0
4/30/58,0,0,0
5/31/58,0,0,0
6/30/58,22.8947465,22.8947465,0
7/31/58,418.3533297,459.1133297,-40.76
8/31/58,664.0105,664.0105,0
9/30/58,512.5508039,512.5508039,0
10/31/58,803.9329295,803.9329295,0
11/30/58,7.50649522,41.36649522,-33.86
12/31/58,298.8947809,334.2247809,-35.33
1/31/59,476.5098456,512.9498456,-36.44
2/28/59,353.7647833,389.5947833,-35.83
3/31/59,454.1716838,494.9316838,-40.76
4/30/59,612.1870094,612.1870094,0
5/31/59,320.6005,320.6005,0
6/30/59,975.6976296,975.6976296,0
7/31/59,807.8055,807.8055,0
8/31/59,731.6395,731.6395,0
9/30/59,443.0257788,443.0257788,0
10/31/59,500.4248666,500.4248666,0
11/30/59,242.0076,275.8676,-33.86
12/31/59,226.9456,262.2756,-35.33
1/31/60,464.1231673,500.5631673,-36.44
2/29/60,431.2567833,467.0867833,-35.83
3/31/60,519.0265621,559.7865621,-40.76
4/30/60,771.2227713,771.2227713,0
5/31/60,776.7931449,776.7931449,0
6/30/60,720.7345,720.7345,0
7/31/60,821.5475,821.5475,0
8/31/60,973.417,973.417,0
9/30/60,560.1166,560.1166,0
10/31/60,479.224642,479.224642,0
11/30/60,366.9220687,400.7820687,-33.86
12/31/60,306.2312947,341.5612947,-35.33
1/31/61,653.4568539,689.8968539,-36.44
2/28/61,467.3447833,503.1747833,-35.83
3/31/61,567.7425621,608.5025621,-40.76
4/30/61,383.6413379,383.6413379,0
5/31/61,634.0775,634.0775,0
6/30/61,760.7875,760.7875,0
7/31/61,1115.385,1115.385,0
8/31/61,808.9055683,808.9055683,0
9/30/61,477.6633288,477.6633288,0
10/31/61,556.0273769,556.0273769,0
11/30/61,267.4966,301.3566,-33.86
12/31/61,188.7996398,224.1296398,-35.33
1/31/62,363.9148456,400.3548456,-36.44
2/28/62,2542.380625,2578.210625,-35.83
3/31/62,1422.653409,1463.413409,-40.76
4/30/62,364.6773,364.6773,0
5/31/62,405.598344,405.598344,0
6/30/62,715.0435,715.0435,0
7/31/62,791.7915,791.7915,0
8/31/62,754.0685683,754.0685683,0
9/30/62,607.9893399,607.9893399,0
10/31/62,584.0925217,584.0925217,0
11/30/62,479.769974,513.629974,-33.86
12/31/62,36.49910323,71.82910323,-35.33
1/31/63,436.6388456,473.0788456,-36.44
2/28/63,255.6854806,291.5154806,-35.83
3/31/63,476.4394413,517.1994413,-40.76
4/30/63,3136.293281,3136.293281,0
5/31/63,411.3039172,411.3039172,0
6/30/63,387.0779494,387.0779494,0
7/31/63,1337.33,1337.33,0
8/31/63,889.9812346,889.9812346,0
9/30/63,1392.307186,1392.307186,0
10/31/63,630.6646557,630.6646557,0
11/30/63,0,18.9905675,-18.9905675
12/31/63,363.5638033,413.7632358,-50.1994325
1/31/64,457.4908456,493.9308456,-36.44
2/29/64,344.6509069,380.4809069,-35.83
3/31/64,313.1788007,353.9388007,-40.76
4/30/64,380.7386826,380.7386826,0
5/31/64,576.2767764,576.2767764,0
6/30/64,739.4985,739.4985,0
7/31/64,1034.48451,1034.48451,0
8/31/64,751.8345,751.8345,0
9/30/64,473.1868598,473.1868598,0
10/31/64,519.3351022,519.3351022,0
11/30/64,459.6543844,493.5143844,-33.86
12/31/64,0,0,0
1/31/65,0,0,0
2/28/65,133.1828902,204.3428902,-71.16
3/31/65,291.7784413,368.9784413,-77.2
4/30/65,193.5625881,193.5625881,0
5/31/65,285.4261198,285.4261198,0
6/30/65,617.5977465,617.5977465,0
7/31/65,769.3955,769.3955,0
8/31/65,599.5561274,599.5561274,0
9/30/65,344.9417682,344.9417682,0
10/31/65,406.2003326,406.2003326,0
11/30/65,591.7214214,625.5814214,-33.86
12/31/65,120.7286905,156.0586905,-35.33
1/31/66,341.3068456,377.7468456,-36.44
2/28/66,1090.49754,1126.32754,-35.83
3/31/66,507.141888,547.901888,-40.76
4/30/66,914.6558094,914.6558094,0
5/31/66,831.6850894,831.6850894,0
6/30/66,885.9639525,885.9639525,0
7/31/66,804.2005,804.2005,0
8/31/66,896.0206274,896.0206274,0
9/30/66,474.0486,474.0486,0
10/31/66,526.9043097,526.9043097,0
11/30/66,233.0842112,266.9442112,-33.86
12/31/66,0,0,0
1/31/67,135.5967727,207.3667727,-71.77
2/28/67,342.8748902,378.7048902,-35.83
3/31/67,91.50179688,132.2617969,-40.76000002
4/30/67,0,0,0
5/31/67,0,0,0
6/30/67,0,0,0
7/31/67,4.936382456,4.936382456,0
8/31/67,629.1079884,629.1079884,0
9/30/67,501.0148598,501.0148598,0
10/31/67,479.0790217,479.0790217,0
11/30/67,0,17.45032426,-17.45032426
12/31/67,124.8046433,176.5443191,-51.7396758
1/31/68,476.3948456,512.8348456,-36.44
2/29/68,386.0027833,421.8327833,-35.83
3/31/68,491.3105621,532.0705621,-40.76
4/30/68,195.86886,195.86886,0
5/31/68,476.6797874,476.6797874,0
6/30/68,549.8060742,549.8060742,0
7/31/68,1314.59,1314.59,0
8/31/68,726.1465,726.1465,0
9/30/68,585.5398598,585.5398598,0
10/31/68,543.3766455,543.3766455,0
11/30/68,363.2390918,397.0990918,-33.86
12/31/68,1701.074761,1736.404761,-35.33
1/31/69,0,0,0
2/28/69,0,0,0
3/31/69,0,0,0
4/30/69,2372.192121,2408.632121,-36.44
5/31/69,2363.02213,2398.85213,-35.83
6/30/69,0,0,0
7/31/69,87.25045709,128.0104571,-40.76000001
8/31/69,514.6380604,514.6380604,0
9/30/69,448.0167338,448.0167338,0
10/31/69,438.4010217,438.4010217,0
11/30/69,374.8208859,408.6808859,-33.86
12/31/69,0,15.45279573,-15.45279573
1/31/70,0,0,0
2/28/70,10.46137372,46.29137372,-35.83
3/31/70,78.80535785,139.4425621,-60.63720425
4/30/70,488.91577,525.35577,-36.44
5/31/70,359.72897,359.72897,0
6/30/70,433.1118799,433.1118799,0
7/31/70,773.2155,773.2155,0
8/31/70,700.7751274,700.7751274,0
9/30/70,1447.169861,1447.169861,0
10/31/70,507.093526,507.093526,0
11/30/70,126.6867399,160.5467399,-33.86
12/31/70,14.46295102,49.79295102,-35.33
1/31/71,398.7538456,435.1938456,-36.44
2/28/71,422.8318902,458.6618902,-35.83
3/31/71,2665.089606,2705.849606,-40.76
4/30/71,311.6493,311.6493,0
5/31/71,1496.472059,1496.472059,0
6/30/71,721.2985,721.2985,0
7/31/71,752.2825,752.2825,0
8/31/71,703.2431274,703.2431274,0
9/30/71,1393.167259,1393.167259,0
10/31/71,436.4287288,436.4287288,0
11/30/71,50.29350013,84.15350013,-33.86
12/31/71,152.3705382,187.7005382,-35.33
1/31/72,520.2448456,556.6848456,-36.44
2/29/72,426.1527833,461.9827833,-35.83
3/31/72,539.3121503,580.0721503,-40.76
4/30/72,164.0876667,164.0876667,0
5/31/72,918.7384987,918.7384987,0
6/30/72,620.1370742,620.1370742,0
7/31/72,801.5335,801.5335,0
8/31/72,709.2361274,709.2361274,0
